ID,Genus,Species
AloSem09479M5NWM,Alo,AleSem
AteGeo07640F5NWM,Ate,AteGeo
AtePan14789M5NWM,Ate,AtePan
CebApe07530M5NWM,Ceb,CebApe
CebCap07160M5NWM,Ceb,CebCap
CebCap08720F5NWM,Ceb,CabCap
LagLag04024M5NWM,Lag,LagLag
LagLag04025F5NWM,Lag,LagLag
LagLag04026F5NWM,Lag,LagLag
LagLag08387M5NWM,Lag,LagLag
LagLag15527F5NWM,Lag,LagLag
